"mident","mois","actif","actifp","actifs","agea"
1101982001,21,1,1,0,53.833332
1101982001,22,1,1,0,53.916668
1101982001,23,1,1,0,54
1101982001,24,1,1,0,54.083332
1102053001,13,0,0,0,43.416668
1102053001,14,1,1,0,43.5
1102053001,15,0,0,0,43.583332
1102053001,16,0,0,0,43.666668
1102053001,17,1,1,0,43.75
1102053001,18,0,0,0,43.833332
1102053001,19,1,1,0,43.916668
1102053001,20,1,1,0,44
1102053001,21,1,1,0,44.083332
1102053001,22,1,1,0,44.166668
1102053001,23,1,1,0,44.25
1102053001,24,1,1,0,44.333332
1102156001,13,1,1,0,28.666666
1102156001,14,1,1,0,28.75
1102156001,15,1,1,0,28.833334
1102156001,16,1,1,0,28.916666
1102156001,17,1,1,0,29
1102156001,18,1,1,0,29.083334
1102156001,19,1,1,0,29.166666
1102156001,20,1,1,0,29.25
1102156001,21,1,1,0,29.333334
1102156001,22,1,1,0,29.416666
1102156001,23,1,1,0,29.5
1102156001,24,1,1,0,29.583334
1102190001,13,1,1,0,59.75
1102190001,14,1,1,0,59.833332
1102190001,15,1,1,0,59.916668
1102190001,16,1,1,0,60
1102190001,17,1,1,0,60.083332
1102190001,18,1,1,0,60.166668
1102190001,19,1,1,0,60.25
1102190001,20,1,1,0,60.333332
1102190001,21,1,1,0,60.416668
1102190001,22,1,1,0,60.5
1102190001,23,1,1,0,60.583332
1102190001,24,1,1,0,60.666668
1102202001,13,1,1,0,45.833332
1102202001,14,1,1,0,45.916668
1102202001,15,1,1,0,46
1102202001,16,1,1,0,46.083332
1102202001,17,1,1,0,46.166668
1102202001,18,1,1,0,46.25
1102202001,19,1,1,0,46.333332
1102202001,20,1,1,0,46.416668
1102202001,21,1,1,0,46.5
1102202001,22,1,1,0,46.583332
1102202001,23,1,1,0,46.666668
1102202001,24,1,1,0,46.75
1102257001,13,1,1,0,39.666668
1102257001,14,1,1,0,39.75
1102257001,15,1,1,0,39.833332
1102257001,16,1,1,0,39.916668
1102257001,17,1,1,0,40
1102257001,18,1,1,0,40.083332
1102257001,19,1,1,0,40.166668
1102257001,20,1,1,0,40.25
1102257001,21,1,1,0,40.333332
1102257001,22,1,1,0,40.416668
1102257001,23,1,1,0,40.5
1102257001,24,1,1,0,40.583332
1102291001,13,1,1,0,34.75
1102291001,14,1,1,0,34.833332
1102291001,15,1,1,0,34.916668
1102291001,16,1,1,0,35
1102291001,17,1,1,0,35.083332
